"Tijdstempel","In welke leeftijdsgroep val je?","Maak je gebruik van Social Media? Zo ja, kruis degene aan waar je gebruik van maakt:","Voel je je door Corona eenzamer?","Zijn er wel eens dingen die je anoniem wilt delen?","Als je ja gekozen hebt, hoe zou je dingen anoniem willen delen? Als je nee gekozen hebt mag je deze vraag overslaan.","Heb je wel eens gehoord van de Kindertelefoon?","Als je ja gekozen hebt, welke vormen van de kindertelefoon ken je? Als je nee gekozen hebt mag je deze vraag overslaan.","Hoe zou je het liefst benaderd willen worden door de Kindertelefoon voor informatie?","Op welke manier zou je de kindertelefoon het liefst willen benaderen? Kruis de opties aan die je het fijnst lijken"
"2021/09/15 11:15:48 a.m. EET","15 - 16","Instagram;TikTok;Snapchat;Whatsapp;YouTube","","Nee","","Ja","Bellen","Social Media","Bellen"
"2021/09/15 11:17:03 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp;YouTube","","Nee","","Ja","Bellen","School","Bellen;Anders"
"2021/09/15 11:17:09 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp;YouTube;Twitch","","Nee","","Ja","Bellen","School","Bellen"
"2021/09/15 11:17:10 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp;YouTube;Twitch","","Nee","","Ja","","School","E-mail"
"2021/09/15 11:17:24 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp;YouTube;Twitch","","Nee","","Ja","Bellen","School","Bellen"
"2021/09/15 11:17:52 a.m. EET","13 - 14","Instagram;Facebook;TikTok;Snapchat;Whatsapp;YouTube;Twitch","","Ja","Live Chat","Ja","Live Chat","Social Media","Whatsapp"
"2021/09/15 11:18:10 a.m. EET","13 - 14","Instagram;Facebook;TikTok;Snapchat;Whatsapp;YouTube","","Nee","Bellen","Ja","Bellen","School","Bellen;E-mail"
"2021/09/15 11:20:41 a.m. EET","13 - 14","Facebook;Whatsapp;YouTube","","Nee","","Ja","Bellen","Social Media","Bellen;Whatsapp;Facebook"
"2021/09/15 5:41:26 p.m. EET","17 - 18","Instagram;Facebook;Snapchat;Twitter;Whatsapp;YouTube","","Nee","","Ja","Bellen","Advertenties (flyers, posters)","Bellen;Live Chat;Whatsapp"
"2021/09/17 9:23:09 a.m. EET","13 - 14","Instagram;TikTok;Snapchat;Whatsapp;YouTube","Nee","Nee","","Ja","Bellen","Social Media","Instagram"
